ncl,cltype,LCO,LCOerr,LHCO,LHCOerr,LHCN,LHCNerr,vel_dispCO,vel_dispCOerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,maj,min,R,Rerr,area,perim,LHCO43,LHCO43err,vel_dispHCO43,vel_dispHCO43err,LHCN43,LHCN43err,vel_dispHCN43,vel_dispHCN43err,L13CO,L13COerr,vel_disp13CO,vel_disp13COerr,Q0,CM_SNR,SFR_SD
31,1,3.999e+07,4.004e+06,7.505e+05,8.544e+04,3.06e+05,4.963e+04,54.46,0.8787,16.44,0.6089,14.63,0.3627,153.5,102.3,201.5,52.94,1.889e+05,4483,nan,nan,nan,nan,nan,nan,nan,nan,4.983e+06,5.003e+05,53.15,0.7497,9.0$
32,2,1.407e+06,1.438e+05,6.989e+04,9774,6.597e+04,9787,25.65,0.3657,24.65,0.3749,24.37,0.4018,18.58,19.72,9.474,5.689,6312,432,nan,nan,nan,nan,nan,nan,nan,nan,9.97e+04,1.201e+04,26.21,0.3772,1.757e+53,1.983,422$
33,2,3.702e+05,4.055e+04,nan,nan,nan,nan,9.039,0.1513,nan,nan,nan,nan,21.79,14.12,nan,25.71,5298,403.2,1.331e+04,3424,7.389,0.1674,nan,nan,nan,nan,5.434e+04,6581,8.892,0.1388,3.302e+52,1.211,1624
34,1,9.932e+06,9.965e+05,3.546e+05,3.953e+04,2.229e+05,2.836e+04,26.63,0.4848,26.35,0.5797,24.24,0.6267,104.1,68.16,133.7,26.62,4.315e+04,1737,1394,1708,1.932,0.0403,5640,3535,4.801,0.07788,1.784e+06,1.793e+05,$
35,1,9.472e+05,9.764e+04,2.363e+04,5503,2.417e+04,5848,17.28,0.3031,1.789,0.126,16,0.5145,40.34,15.13,27.1,21.03,6588,576,nan,nan,nan,nan,nan,nan,nan,nan,1.406e+05,1.503e+04,17.19,0.2941,5.345e+52,0.956,373.4
36,2,6.824e+05,7.117e+04,1.685e+04,4527,1.834e+04,4923,12.45,0.189,1.692,0.09119,11.25,0.3494,28.31,12.72,8.562,41.17,6059,576,nan,nan,nan,nan,nan,nan,nan,nan,1.034e+05,1.129e+04,12.59,0.1991,3.45e+52,0.8483,37$
37,1,7.725e+06,7.758e+05,3.001e+05,3.379e+04,1.795e+05,2.372e+04,24.84,0.4251,25.38,0.5435,0.7193,0.1326,46.07,84.1,96.74,22.28,3.308e+04,1219,801.9,1408,1.548,0.03134,3805,2961,4.336,0.07442,1.456e+06,1.465e+0$
38,2,3.973e+06,4.003e+05,1.814e+05,2.118e+04,1.137e+05,1.592e+04,22.47,0.3572,22.11,0.4324,22.9,0.6182,40.95,57.85,73.36,6.497,1.576e+04,672,nan,nan,nan,nan,nan,nan,nan,nan,8.366e+05,8.437e+04,21.49,0.2795,9.71$
39,0,2.026e+05,2.683e+04,7411,3839,nan,nan,4.489,0.06323,3.693,0.09223,nan,nan,26.39,47.33,49.21,23.18,6681,489.6,nan,nan,nan,nan,nan,nan,nan,nan,3.936e+04,5571,4.345,0.05418,-4.7e+51,-0.1527,287
40,1,1.623e+07,1.626e+06,7.17e+05,7.456e+04,3.018e+05,3.65e+04,26.24,0.359,21.19,0.1855,22.71,0.3988,80.88,47.98,96.83,38.41,4.775e+04,1680,372,3970,1.175,0.1113,nan,nan,nan,nan,2.713e+06,2.721e+05,24.66,0.2612$
41,1,1.773e+07,1.775e+06,7.42e+05,7.725e+04,3.126e+05,3.795e+04,26.39,0.3615,21.22,0.2115,22.85,0.4381,81.94,51,100.8,39.28,5.116e+04,1641,1.005e+04,5785,5.084,0.1693,nan,nan,nan,nan,2.93e+06,2.937e+05,24.83,0.$
42,1,3.593e+06,3.625e+05,1.171e+05,1.589e+04,6.876e+04,1.278e+04,18.52,0.3156,17.35,0.331,17.3,0.4396,32.34,80.62,77.54,38.96,1.947e+04,1018,1.318e+05,1.609e+04,18.37,0.37,5e+04,1.285e+04,14.04,0.3831,4.7e+05,4$
43,1,1.335e+07,1.337e+06,6.477e+05,6.726e+04,2.684e+05,3.251e+04,25.11,0.3602,21.29,0.2027,22.63,0.3802,81.15,44.88,93.51,24.41,3.308e+04,1018,nan,nan,nan,nan,nan,nan,nan,nan,2.284e+06,2.291e+05,23.46,0.2517,1.$
44,2,1.305e+06,1.336e+05,4.306e+04,7689,2.601e+04,6907,15.11,0.2507,15.12,0.3669,14.9,0.4503,16.23,37.06,26.66,25,8362,547.2,5.353e+04,7830,13.33,0.2185,nan,nan,nan,nan,1.914e+05,2.017e+04,15.05,0.234,1.286e+53$
